venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photos_real_weddings,photos_maps,source,notes
Saddles Mount White,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/SaddlesMountWhite/,,,easyweddings_CentralCoast,
Soldiers Beach Surf Life Saving Club,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/SoldiersBeachSurfLifeSavingClub/,,,easyweddings_CentralCoast,
Somersby Gardens Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/SomersbyGardensEstate/,,,easyweddings_CentralCoast,
St Joseph's Guest House,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/StJosephsGuestHouse/,,,easyweddings_CentralCoast,
The Beachcomber Hotel,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/TheBeachcomberHotel/,,,easyweddings_CentralCoast,
The Springs,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/TheSprings/,,,easyweddings_CentralCoast,
Wallarah Bay Recreation Club,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/WallarahBayRecreationClub/,,,easyweddings_CentralCoast,
Yarramalong Valley Farmstay,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/YarramalongValleyFarmstay/,,,easyweddings_CentralCoast,
voco Gosford,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/vocoGosford/,,,easyweddings_CentralCoast,
Abercrombie Ridge,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/AbercrombieRidge/,,,easyweddings_SouthernHighlands,
Bendooley Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/BendooleyEstate/,,,easyweddings_SouthernHighlands,
Citizen Kanebridge Lodge Berrima,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/BerrimaVaultHouse/,,,easyweddings_SouthernHighlands,
Burnham Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/BurnhamEstate/,,,easyweddings_SouthernHighlands,
