venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photo_cover,photo_gallery,photos_real_weddings,photos_maps,source,notes
Ben Ean,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/BenEanEstate/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/ben-ean-supplierlogo-photo-100f7a34-f0c1-4c00-93b1-b8e4b3438668.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_HunterValley,
Bendooley Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/BendooleyEstate/,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/Bendooley-Estate-19923-L-1-1838110500.jpg,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/Bendooley-Estate-19923-L-1-1838110500.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings_SouthernHighlands,
Bidja Estate,,,160-170 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/Bidjaestate/,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/original-crop-0f985adf-6309-bf8b-5dff-37ed6e782a6b-b00c7149-7f6c-4d5c-afa8-15fc64fb786b.jpg,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/original-crop-0f985adf-6309-bf8b-5dff-37ed6e782a6b-b00c7149-7f6c-4d5c-afa8-15fc64fb786b.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings_CentralCoast,
Bilpin Mountains Weddings,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/BilpinMountainsWeddings/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/bilpin-mountains-weddings-supplierlogo-photo-53a8b61c-408d-43b9-a935-10221d0febb2.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_BlueMountains,
Blue Mountains Botanic Garden Mount Tomah,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/BlueMountainsBotanicGarden/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/blue-mountains-botanic-garden-mount-tomah-supplierthumb-photo-dd6c9850-e2ff-4699-ae32-b4343bc9a3dd.jpg,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/blue-mountains-botanic-garden-mount-tomah-supplierthumb-photo-dd6c9850-e2ff-4699-ae32-b4343bc9a3dd.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings_BlueMountains,
Burnham Estate,Cawdor,estate|garden,40-150,,$160-$250,,,Includes accommodation? confirm,4.9,33,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/ ,From EasyWeddings listing
Burnt Orange - Mosman,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheSignalsRoomBurntOrange/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/burnt-orange-supplierlogo-photo-fb69d8ab-b502-464f-9c04-d0cd9f10c07d.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings,
Capella Sydney,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CapellaSydney/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/capella-sydney-supplierlogo-photo-36269a84-0b87-44ba-af1e-4ac08d5bfdf2.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings,
Caves Coastal Bar & Bungalows,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/CavesBeachside/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/Caves-Beachside-19369-L-1-1807070210.jpg,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/Caves-Beachside-19369-L-1-1807070210.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings_CentralCoast,
Centennial Homestead,Centennial Park,garden|park|heritage,Up to 550,,$165-$300,,,Check ceremony options + wet weather,4.9,32,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/ ,From EasyWeddings listing
