venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photos_real_weddings,photos_maps,source,notes
Q Station Harbourside,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/QStationManly/,,,easyweddings,
Riverside Oaks Golf Resort,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/RiversideOakGolfResort/,,,easyweddings,
Royal Botanic Garden Sydney,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/RoyalBotanicGardensAndDomain/,,,easyweddings,
SOFITEL Sydney Wentworth,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/SOFITELSydneyWentworth/,,,easyweddings,
San Martin Akuna Bay,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/SanMartinAkunaBay/,,,easyweddings,
Sergeants' Mess,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/SergeantsMess/,,,easyweddings,
Sheraton Grand Sydney Hyde Park,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/SheratonOnThePark/,,,easyweddings,
Silkari Mirage at Newport,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/SilkariMirageatNewport/,,,easyweddings,
Silvergum Stables,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/SilvergumStables/,,,easyweddings,
Somersby Gardens Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/SomersbyGardensEstate/,,,easyweddings,
St George Sailing Club,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/StGeorgeSailingClub/,,,easyweddings,
Stix Farm by PEARL,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/StixCatering/,,,easyweddings,
Strathfield Golf Club,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/StrathfieldGolfClub/,,,easyweddings,
Sydney Seaplanes Lounge Waterfront Restaurant,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/SydneySeaplanesLoungeWaterfrontRestaurant/,,,easyweddings,
Taronga Event Centre,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TarongaEventCentre/,,,easyweddings,
The Australian Botanic Garden Mount Annan,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheAustralianBotanicGardenMountAnnan/,,,easyweddings,
The Bayview,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheBayView/,,,easyweddings,
The Boathouse Shelly Beach,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheBoathouseShellyBeach/,,,easyweddings,
The Botanica Vaucluse,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheBotanicaVaucluse/,,,easyweddings,
